Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
 tow, lat,lon:223102200, 22.5798119922, 113.9265577591,4,12 
 tow, lat,lon:223102300, 22.5798120013, 113.9265577574,4,12 
 tow, lat,lon:223102400, 22.5798120045, 113.9265577666,4,12 
 tow, lat,lon:223102500, 22.5798120071, 113.9265577679,4,12 
 tow, lat,lon:223102600, 22.5798120073, 113.9265577555,4,12 
 tow, lat,lon:223102700, 22.5798120026, 113.9265577589,4,12 
 tow, lat,lon:223102800, 22.5798120154, 113.9265577584,4,12 
 tow, lat,lon:223102900, 22.5798120126, 113.9265577646,4,12 
 tow, lat,lon:223103000, 22.5798120065, 113.9265577574,4,12 
 tow, lat,lon:223103100, 22.5798120160, 113.9265577551,4,12 
 tow, lat,lon:223103200, 22.5798120016, 113.9265577541,4,12 
 tow, lat,lon:223103300, 22.5798120191, 113.9265577618,4,12 
 tow, lat,lon:223103400, 22.5798120243, 113.9265577613,4,12 
 tow, lat,lon:223103500, 22.5798120254, 113.9265577663,4,12 
 tow, lat,lon:223103600, 22.5798120205, 113.9265577601,4,12 
 tow, lat,lon:223103700, 22.5798120304, 113.9265577664,4,12 
 tow, lat,lon:223103800, 22.5798120309, 113.9265577629,4,12 
 tow, lat,lon:223103900, 22.5798120211, 113.9265577690,4,12 
 tow, lat,lon:223104000, 22.5798120320, 113.9265577603,4,12 
 tow, lat,lon:223104100, 22.5798120441, 113.9265577765,4,12 
 tow, lat,lon:223104200, 22.5798120061, 113.9265577815,4,12 
 tow, lat,lon:223104300, 22.5798120152, 113.9265577841,4,12 
 tow, lat,lon:223104400, 22.5798120040, 113.9265577793,4,12 
 tow, lat,lon:223104500, 22.5798120135, 113.9265577769,4,12 
 tow, lat,lon:223104600, 22.5798120176, 113.9265577848,4,12 
 tow, lat,lon:223104700, 22.5798120246, 113.9265577842,4,12 
 tow, lat,lon:223104800, 22.5798120261, 113.9265577881,4,12 
 tow, lat,lon:223104900, 22.5798120263, 113.9265577799,4,12 
 tow, lat,lon:223105000, 22.5798120241, 113.9265577960,4,12 
 tow, lat,lon:223105100, 22.5798120354, 113.9265577859,4,12 
 tow, lat,lon:223105200, 22.5798120376, 113.9265577915,4,12 
 tow, lat,lon:223105300, 22.5798120469, 113.9265577947,4,12 
 tow, lat,lon:223105400, 22.5798120363, 113.9265577937,4,12 
 tow, lat,lon:223105500, 22.5798120379, 113.9265577956,4,12 
 tow, lat,lon:223105600, 22.5798120382, 113.9265577989,4,12 
 tow, lat,lon:223105700, 22.5798120410, 113.9265577916,4,12 
 tow, lat,lon:223105800, 22.5798120566, 113.9265578052,4,12 
 tow, lat,lon:223105900, 22.5798120515, 113.9265578023,4,12 
 tow, lat,lon:223106000, 22.5798120041, 113.9265577771,4,12 
 tow, lat,lon:223106100, 22.5798120059, 113.9265577800,4,12 
 tow, lat,lon:223106200, 22.5798120058, 113.9265577925,4,12 
 tow, lat,lon:223106300, 22.5798120166, 113.9265577839,4,12 
 tow, lat,lon:223106400, 22.5798120026, 113.9265577789,4,12 
 tow, lat,lon:223106500, 22.5798120054, 113.9265577867,4,12 
 tow, lat,lon:223106600, 22.5798120091, 113.9265577905,4,12 
 tow, lat,lon:223106700, 22.5798120141, 113.9265577966,4,12 
 tow, lat,lon:223106800, 22.5798120167, 113.9265577935,4,12 
 tow, lat,lon:223106900, 22.5798120204, 113.9265577950,4,12 
 tow, lat,lon:223107000, 22.5798120061, 113.9265577963,4,12 
 tow, lat,lon:223107100, 22.5798120087, 113.9265577963,4,12 
 tow, lat,lon:223107200, 22.5798120145, 113.9265577987,4,12 
 tow, lat,lon:223107300, 22.5798120215, 113.9265578090,4,12 
 tow, lat,lon:223107400, 22.5798120122, 113.9265578026,4,12 
 tow, lat,lon:223107500, 22.5798120100, 113.9265578060,4,12 
 tow, lat,lon:223107600, 22.5798120174, 113.9265578027,4,12 
 tow, lat,lon:223107700, 22.5798120188, 113.9265578077,4,12 
 tow, lat,lon:223107800, 22.5798120176, 113.9265578050,4,12 
 tow, lat,lon:223107900, 22.5798120130, 113.9265578147,4,12 
 tow, lat,lon:223108000, 22.5798119933, 113.9265577921,4,12 
 tow, lat,lon:223108100, 22.5798120112, 113.9265577943,4,12 
 tow, lat,lon:223108200, 22.5798119967, 113.9265577971,4,12 
 tow, lat,lon:223108300, 22.5798120035, 113.9265578037,4,12 
 tow, lat,lon:223108400, 22.5798120088, 113.9265577983,4,12 
 tow, lat,lon:223108500, 22.5798120071, 113.9265578024,4,12 
 tow, lat,lon:223108600, 22.5798120083, 113.9265577998,4,12 
 tow, lat,lon:223108700, 22.5798119985, 113.9265578018,4,12 
 tow, lat,lon:223108800, 22.5798120039, 113.9265577970,4,12 
 tow, lat,lon:223108900, 22.5798120027, 113.9265578088,4,12 
 tow, lat,lon:223109000, 22.5798119975, 113.9265578070,4,12 
 tow, lat,lon:223109100, 22.5798120138, 113.9265578201,4,12 
 tow, lat,lon:223109200, 22.5798120069, 113.9265578207,4,12 
 tow, lat,lon:223109300, 22.5798120002, 113.9265578154,4,12 
 tow, lat,lon:223109400, 22.5798120084, 113.9265578273,4,12 
 tow, lat,lon:223109500, 22.5798120106, 113.9265578363,4,12 
 tow, lat,lon:223109600, 22.5798120057, 113.9265578398,4,12 
 tow, lat,lon:223109700, 22.5798120077, 113.9265578301,4,12 
 tow, lat,lon:223109800, 22.5798120150, 113.9265578428,4,12 
 tow, lat,lon:223109900, 22.5798120082, 113.9265578487,4,12 
 tow, lat,lon:223110000, 22.5798120023, 113.9265577971,4,12 
 tow, lat,lon:223110100, 22.5798120066, 113.9265578044,4,12 
 tow, lat,lon:223110200, 22.5798120039, 113.9265578085,4,12 
 tow, lat,lon:223110300, 22.5798120057, 113.9265578120,4,12 
 tow, lat,lon:223110400, 22.5798120038, 113.9265578294,4,12 
 tow, lat,lon:223110500, 22.5798120135, 113.9265578316,4,12 
 tow, lat,lon:223110600, 22.5798120110, 113.9265578363,4,12 
 tow, lat,lon:223110700, 22.5798120185, 113.9265578492,4,12 
 tow, lat,lon:223110800, 22.5798120173, 113.9265578403,4,12 
 tow, lat,lon:223110900, 22.5798120129, 113.9265578422,4,12 
 tow, lat,lon:223111000, 22.5798120061, 113.9265578408,4,12 
 tow, lat,lon:223111100, 22.5798120045, 113.9265578492,4,12 
 tow, lat,lon:223111200, 22.5798120056, 113.9265578452,4,12 
 tow, lat,lon:223111300, 22.5798120123, 113.9265578509,4,12 
